type	parts	q	e0	e1	e2	e2.rel
cdf	100	0.500000	0.001770	-0.000102	-0.000485	0.000970
quantile	2	0.001000	0.000008	0.000001	-0.000004	0.003829
quantile	2	0.010000	-0.000271	-0.000032	0.000033	0.003299
quantile	2	0.100000	0.000761	0.000779	-0.000799	0.007987
quantile	2	0.200000	0.000492	0.000957	0.001325	0.006625
quantile	2	0.300000	0.000429	0.000073	0.003588	0.011959
quantile	2	0.500000	0.001286	0.000122	-0.000224	0.000449
cdf	2	0.001000	-0.000020	-0.000000	0.000000	0.000223
cdf	2	0.010000	0.000380	-0.000011	-0.000067	0.006740
cdf	2	0.100000	-0.000640	0.000020	-0.000172	0.001720
cdf	2	0.200000	-0.000520	0.000033	-0.000741	0.003705
cdf	2	0.300000	-0.000430	0.000151	0.000925	0.003085
cdf	2	0.500000	-0.001090	0.000209	-0.000245	0.000491
quantile	5	0.001000	0.000049	-0.000006	0.000008	0.007959
quantile	5	0.010000	-0.000314	-0.000015	-0.000048	0.004787
quantile	5	0.100000	-0.001336	-0.000087	0.000517	0.005171
quantile	5	0.200000	0.000078	0.004069	-0.000069	0.000347
quantile	5	0.300000	-0.000266	-0.000086	-0.002782	0.009272
quantile	5	0.500000	-0.002215	-0.001348	-0.000819	0.001637
cdf	5	0.001000	-0.000050	0.000020	0.000014	0.014143
cdf	5	0.010000	0.000330	-0.000017	-0.000142	0.014247
cdf	5	0.100000	0.001250	-0.000746	0.000080	0.000796
cdf	5	0.200000	-0.000070	-0.000558	0.000271	0.001354
cdf	5	0.300000	0.000260	0.000062	0.000501	0.001670
cdf	5	0.500000	0.002380	0.000293	-0.000690	0.001380
quantile	10	0.001000	0.000081	-0.000052	-0.000046	0.046120
quantile	10	0.010000	-0.000071	-0.000036	0.000027	0.002680
quantile	10	0.100000	-0.000130	-0.000749	-0.000140	0.001398
quantile	10	0.200000	0.000986	-0.001119	0.000109	0.000544
quantile	10	0.300000	0.000860	-0.000228	0.002314	0.007713
quantile	10	0.500000	-0.000426	0.003436	-0.001071	0.002143
cdf	10	0.001000	-0.000030	-0.000009	0.000002	0.001678
cdf	10	0.010000	0.000090	-0.000111	-0.000059	0.005863
cdf	10	0.100000	0.000100	-0.000245	-0.000892	0.008918
cdf	10	0.200000	-0.000960	0.000031	0.000036	0.000179
cdf	10	0.300000	-0.000620	0.000070	-0.001746	0.005822
cdf	10	0.500000	0.000480	-0.000072	-0.000282	0.000563
quantile	20	0.001000	-0.000049	-0.000026	-0.000002	0.002409
quantile	20	0.010000	0.000500	-0.000142	0.000017	0.001720
quantile	20	0.100000	0.001634	0.002518	0.001250	0.012500
quantile	20	0.200000	0.000974	-0.000141	0.000472	0.002362
quantile	20	0.300000	0.000442	0.003008	-0.000047	0.000157
quantile	20	0.500000	0.001665	-0.000303	-0.000026	0.000052
cdf	20	0.001000	0.000030	0.000006	0.000006	0.006130
cdf	20	0.010000	-0.000410	-0.000001	0.000010	0.001041
cdf	20	0.100000	-0.001540	-0.000057	-0.000120	0.001200
cdf	20	0.200000	-0.001100	-0.000084	0.000538	0.002688
cdf	20	0.300000	-0.000430	0.000339	-0.000152	0.000507
cdf	20	0.500000	-0.001650	-0.000103	0.000637	0.001273
quantile	50	0.001000	-0.000111	-0.000003	-0.000004	0.004372
quantile	50	0.010000	-0.000352	-0.000027	-0.000010	0.001049
quantile	50	0.100000	-0.001448	-0.000208	0.000373	0.003731
quantile	50	0.200000	-0.001521	0.000145	-0.000450	0.002248
quantile	50	0.300000	-0.000118	-0.000029	-0.000148	0.000492
quantile	50	0.500000	0.000621	-0.000290	0.000071	0.000141
cdf	50	0.001000	0.000180	-0.000010	-0.000006	0.005814
cdf	50	0.010000	0.000350	-0.000006	0.000030	0.002998
cdf	50	0.100000	0.001260	-0.000063	-0.000285	0.002851
cdf	50	0.200000	0.001580	0.000069	-0.000198	0.000991
cdf	50	0.300000	0.000130	0.000204	-0.000564	0.001879
cdf	50	0.500000	-0.000670	0.001365	0.000550	0.001100
quantile	100	0.001000	0.000002	-0.000011	-0.000010	0.010491
quantile	100	0.010000	0.000426	-0.000020	0.000022	0.002162
quantile	100	0.100000	0.000746	-0.001464	-0.000689	0.006888
quantile	100	0.200000	-0.001771	-0.002864	0.000923	0.004614
quantile	100	0.300000	-0.000957	-0.001861	0.001209	0.004031
quantile	100	0.500000	0.001412	-0.000098	0.000026	0.000053
cdf	100	0.001000	0.000000	0.000002	0.000003	0.002550
cdf	100	0.010000	-0.000500	0.000049	-0.000001	0.000104
cdf	100	0.100000	-0.000870	0.000217	0.000016	0.000163
cdf	100	0.200000	0.002010	0.000064	-0.000009	0.000043
cdf	100	0.300000	0.001010	-0.000264	-0.000194	0.000646
cdf	100	0.500000	-0.001370	0.000500	0.000485	0.000970
quantile	2	0.001000	-0.000096	-0.000039	-0.000050	0.049546
quantile	2	0.010000	-0.000878	0.000209	0.000033	0.003300
quantile	2	0.100000	-0.001102	0.000141	-0.000004	0.000043
quantile	2	0.200000	-0.001491	-0.000022	0.001123	0.005614
quantile	2	0.300000	-0.000941	-0.000216	0.000919	0.003063
quantile	2	0.500000	0.001019	0.000173	0.001284	0.002568
cdf	2	0.001000	0.000120	0.000014	0.000015	0.014618
cdf	2	0.010000	0.000920	-0.000006	-0.000192	0.019198
cdf	2	0.100000	0.001140	0.000327	-0.000549	0.005489
cdf	2	0.200000	0.001450	-0.000110	-0.000648	0.003241
cdf	2	0.300000	0.001000	-0.000867	-0.000225	0.000751
cdf	2	0.500000	-0.001050	0.000879	-0.000289	0.000578
quantile	5	0.001000	0.000129	-0.000010	-0.000017	0.016806
quantile	5	0.010000	-0.000008	0.000226	0.000133	0.013325
quantile	5	0.100000	0.001552	-0.000043	-0.000068	0.000678
quantile	5	0.200000	0.002114	0.001928	-0.001281	0.006403
quantile	5	0.300000	0.001000	-0.000991	0.000536	0.001787
quantile	5	0.500000	0.000763	-0.000215	0.001854	0.003708
cdf	5	0.001000	-0.000100	0.000003	0.000001	0.001247
cdf	5	0.010000	0.000010	-0.000033	0.000028	0.002805
cdf	5	0.100000	-0.001670	-0.000198	0.000174	0.001735
cdf	5	0.200000	-0.001910	0.000222	0.000248	0.001240
cdf	5	0.300000	-0.000970	-0.000770	0.000261	0.000869
cdf	5	0.500000	-0.000630	0.000323	-0.000126	0.000252
quantile	10	0.001000	-0.000057	-0.000005	-0.000006	0.006090
quantile	10	0.010000	0.000124	-0.000011	0.000079	0.007854
quantile	10	0.100000	-0.001486	-0.000109	0.000323	0.003233
quantile	10	0.200000	-0.002310	0.000066	-0.001801	0.009005
quantile	10	0.300000	-0.001269	0.000116	-0.000512	0.001707
quantile	10	0.500000	0.000007	0.001597	0.001275	0.002551
cdf	10	0.001000	0.000090	0.000012	0.000005	0.005145
cdf	10	0.010000	-0.000100	-0.000025	-0.000030	0.002953
cdf	10	0.100000	0.001720	-0.000681	-0.000427	0.004269
cdf	10	0.200000	0.002120	0.000057	-0.000100	0.000498
cdf	10	0.300000	0.001350	-0.000153	0.000416	0.001387
cdf	10	0.500000	0.000000	0.000475	-0.000358	0.000715
quantile	20	0.001000	-0.000003	-0.000005	-0.000007	0.006860
quantile	20	0.010000	-0.000272	-0.000054	0.000012	0.001199
quantile	20	0.100000	0.000433	-0.000957	0.000079	0.000787
quantile	20	0.200000	-0.000590	0.000002	-0.000018	0.000092
quantile	20	0.300000	0.000794	-0.002276	0.001633	0.005443
quantile	20	0.500000	-0.000895	0.000625	-0.000283	0.000566
cdf	20	0.001000	0.000010	-0.000005	-0.000003	0.002749
cdf	20	0.010000	0.000270	0.000031	-0.000028	0.002784
cdf	20	0.100000	-0.000360	0.000427	0.000277	0.002765
cdf	20	0.200000	0.000620	0.000297	0.000187	0.000933
cdf	20	0.300000	-0.000840	0.000769	-0.000012	0.000041
cdf	20	0.500000	0.000970	0.000327	0.000237	0.000474
quantile	50	0.001000	-0.000033	0.000003	-0.000008	0.008292
quantile	50	0.010000	0.000115	-0.000140	0.000067	0.006704
quantile	50	0.100000	0.000250	0.000698	-0.000333	0.003332
quantile	50	0.200000	0.000368	0.000106	0.000492	0.002461
quantile	50	0.300000	0.000163	0.000352	0.000081	0.000269
quantile	50	0.500000	-0.000580	0.004951	0.000649	0.001298
cdf	50	0.001000	0.000010	0.000001	-0.000004	0.003900
cdf	50	0.010000	-0.000190	0.000007	0.000038	0.003849
cdf	50	0.100000	-0.000160	0.000000	-0.000196	0.001963
cdf	50	0.200000	-0.000340	0.000033	0.000354	0.001771
cdf	50	0.300000	-0.000140	-0.000114	-0.000176	0.000586
cdf	50	0.500000	0.000530	-0.000566	-0.000481	0.000961
quantile	100	0.001000	0.000002	0.000012	-0.000010	0.010490
quantile	100	0.010000	-0.000125	-0.000076	0.000001	0.000067
quantile	100	0.100000	-0.001009	-0.000073	0.000646	0.006457
quantile	100	0.200000	-0.000417	-0.000295	-0.000887	0.004435
quantile	100	0.300000	-0.000521	0.000449	-0.000577	0.001925
quantile	100	0.500000	0.001039	-0.001869	0.000330	0.000660
cdf	100	0.001000	0.000000	0.000006	0.000000	0.000334
cdf	100	0.010000	0.000140	-0.000018	-0.000001	0.000053
cdf	100	0.100000	0.001000	-0.000256	0.000284	0.002840
cdf	100	0.200000	0.000400	0.000873	-0.000780	0.003900
cdf	100	0.300000	0.000600	-0.000733	-0.000684	0.002281
cdf	100	0.500000	-0.000860	0.001515	0.000123	0.000245
quantile	2	0.001000	0.000130	0.000008	0.000003	0.002697
quantile	2	0.010000	-0.000338	0.000120	-0.000060	0.005982
quantile	2	0.100000	-0.000282	-0.000031	0.000592	0.005918
quantile	2	0.200000	-0.001492	0.001022	-0.001510	0.007550
quantile	2	0.300000	-0.000690	0.000474	-0.003253	0.010843
quantile	2	0.500000	0.001711	-0.001119	-0.002447	0.004894
cdf	2	0.001000	-0.000120	0.000007	0.000006	0.006062
cdf	2	0.010000	0.000300	-0.000019	-0.000049	0.004920
cdf	2	0.100000	0.000310	0.000114	0.000253	0.002525
cdf	2	0.200000	0.001450	-0.000203	0.000151	0.000753
cdf	2	0.300000	0.000660	-0.000269	0.000606	0.002019
cdf	2	0.500000	-0.001730	0.001096	-0.000185	0.000370
quantile	5	0.001000	0.000025	-0.000002	0.000014	0.013907
quantile	5	0.010000	-0.000560	0.000039	0.000018	0.001838
quantile	5	0.100000	-0.000185	-0.000086	0.001758	0.017579
quantile	5	0.200000	-0.001613	0.003517	0.000578	0.002892
quantile	5	0.300000	-0.001358	-0.000127	0.000549	0.001831
quantile	5	0.500000	-0.000787	-0.004521	0.002142	0.004285
cdf	5	0.001000	-0.000050	0.000008	0.000023	0.023248
cdf	5	0.010000	0.000530	-0.000074	-0.000089	0.008905
cdf	5	0.100000	0.000200	-0.000077	-0.000539	0.005389
cdf	5	0.200000	0.001620	-0.000946	-0.000719	0.003597
cdf	5	0.300000	0.001410	0.000036	-0.001058	0.003526
cdf	5	0.500000	0.000820	-0.000091	0.000363	0.000726
quantile	10	0.001000	0.000161	0.000001	-0.000002	0.001570
quantile	10	0.010000	0.000872	-0.000277	-0.000014	0.001386
quantile	10	0.100000	0.001853	0.000053	-0.000026	0.000260
quantile	10	0.200000	0.001459	-0.000097	0.000108	0.000538
quantile	10	0.300000	0.000715	-0.000844	-0.001811	0.006037
quantile	10	0.500000	0.001262	-0.000117	-0.000471	0.000942
cdf	10	0.001000	-0.000140	-0.000005	-0.000011	0.011007
cdf	10	0.010000	-0.000660	-0.000063	-0.000000	0.000030
cdf	10	0.100000	-0.002030	0.000359	0.000153	0.001527
cdf	10	0.200000	-0.001320	0.000746	0.000270	0.001349
cdf	10	0.300000	-0.000750	-0.000893	-0.000101	0.000335
cdf	10	0.500000	-0.001430	0.001220	-0.000770	0.001539
quantile	20	0.001000	-0.000133	-0.000009	-0.000006	0.005667
quantile	20	0.010000	-0.000073	-0.000029	0.000078	0.007841
quantile	20	0.100000	-0.001225	0.000473	0.000081	0.000813
quantile	20	0.200000	-0.003133	0.000368	-0.000031	0.000154
quantile	20	0.300000	-0.002600	-0.000016	0.000044	0.000146
quantile	20	0.500000	-0.001884	0.004482	0.003055	0.006109
cdf	20	0.001000	0.000160	-0.000031	-0.000013	0.012638
cdf	20	0.010000	0.000080	0.000019	-0.000011	0.001099
cdf	20	0.100000	0.001330	-0.000370	0.000033	0.000335
cdf	20	0.200000	0.003180	-0.000025	0.000374	0.001872
cdf	20	0.300000	0.002440	0.000795	-0.000122	0.000406
cdf	20	0.500000	0.001870	-0.000437	-0.000343	0.000686
quantile	50	0.001000	-0.000087	-0.000008	0.000010	0.010228
quantile	50	0.010000	0.000290	-0.000153	-0.000028	0.002811
quantile	50	0.100000	-0.000156	-0.000529	-0.000966	0.009664
quantile	50	0.200000	-0.000777	0.002625	-0.000223	0.001113
quantile	50	0.300000	-0.000631	0.003533	0.002179	0.007263
quantile	50	0.500000	-0.001763	-0.000271	0.000999	0.001998
cdf	50	0.001000	0.000070	0.000007	0.000005	0.005169
cdf	50	0.010000	-0.000240	0.000015	0.000021	0.002056
cdf	50	0.100000	0.000220	-0.000365	0.000080	0.000796
cdf	50	0.200000	0.000590	0.000462	0.000035	0.000175
cdf	50	0.300000	0.000620	-0.000046	-0.000163	0.000544
cdf	50	0.500000	0.001760	-0.000083	0.000328	0.000656
quantile	100	0.001000	0.000134	0.000002	0.000003	0.002539
quantile	100	0.010000	0.000035	0.000050	0.000034	0.003446
quantile	100	0.100000	-0.000272	0.000019	0.001477	0.014772
quantile	100	0.200000	0.000139	-0.000267	-0.001724	0.008619
quantile	100	0.300000	0.000171	-0.000055	-0.001942	0.006473
quantile	100	0.500000	-0.001634	-0.002530	0.000635	0.001270
cdf	100	0.001000	-0.000100	0.000007	0.000007	0.007063
cdf	100	0.010000	-0.000060	0.000034	-0.000001	0.000098
cdf	100	0.100000	0.000260	-0.000540	-0.000238	0.002377
cdf	100	0.200000	-0.000120	0.000055	0.000186	0.000932
cdf	100	0.300000	-0.000170	-0.000100	-0.000074	0.000248
cdf	100	0.500000	0.001590	0.000809	0.000201	0.000401
quantile	2	0.001000	-0.000173	-0.000006	-0.000011	0.011289
quantile	2	0.010000	0.000077	-0.000030	0.000124	0.012365
quantile	2	0.100000	-0.001353	-0.001174	-0.000310	0.003102
quantile	2	0.200000	-0.000350	-0.000005	-0.000176	0.000879
quantile	2	0.300000	-0.002053	0.004736	0.000350	0.001167
quantile	2	0.500000	-0.001637	-0.004497	-0.000297	0.000594
cdf	2	0.001000	0.000180	-0.000003	-0.000008	0.007771
cdf	2	0.010000	-0.000040	0.000005	-0.000064	0.006403
cdf	2	0.100000	0.001380	-0.000043	-0.000380	0.003801
cdf	2	0.200000	0.000260	-0.000390	0.000175	0.000873
cdf	2	0.300000	0.002140	-0.000012	-0.001659	0.005531
cdf	2	0.500000	0.001640	-0.000389	0.000935	0.001871
quantile	5	0.001000	0.000106	-0.000005	-0.000011	0.011406
quantile	5	0.010000	0.000105	0.000053	-0.000019	0.001868
quantile	5	0.100000	-0.000011	0.001444	0.000581	0.005808
quantile	5	0.200000	-0.000474	0.001590	0.003026	0.015132
quantile	5	0.300000	-0.000896	-0.001418	-0.003357	0.011189
quantile	5	0.500000	-0.000654	-0.000059	-0.000385	0.000769
cdf	5	0.001000	-0.000120	-0.000002	-0.000001	0.001413
cdf	5	0.010000	-0.000120	-0.000064	-0.000043	0.004304
cdf	5	0.100000	0.000010	-0.000093	0.000091	0.000914
cdf	5	0.200000	0.000380	0.000012	-0.000689	0.003443
cdf	5	0.300000	0.000960	-0.000485	0.000008	0.000027
cdf	5	0.500000	0.000610	0.000600	0.001165	0.002331
quantile	10	0.001000	0.000034	0.000003	-0.000001	0.001301
quantile	10	0.010000	-0.000276	0.000037	0.000029	0.002850
quantile	10	0.100000	0.000334	-0.004142	0.000085	0.000854
quantile	10	0.200000	-0.000159	-0.001971	0.000000	0.000001
quantile	10	0.300000	-0.000717	0.001662	0.005500	0.018332
quantile	10	0.500000	0.000075	-0.000982	-0.000540	0.001081
cdf	10	0.001000	-0.000010	0.000001	-0.000001	0.000556
cdf	10	0.010000	0.000250	-0.000047	-0.000028	0.002809
cdf	10	0.100000	-0.000310	0.001096	0.000192	0.001922
cdf	10	0.200000	0.000220	-0.000113	-0.000437	0.002183
cdf	10	0.300000	0.000850	-0.000096	-0.000640	0.002134
cdf	10	0.500000	-0.000080	0.001189	-0.000806	0.001613
quantile	20	0.001000	-0.000080	-0.000021	-0.000026	0.025561
quantile	20	0.010000	-0.000068	-0.000100	-0.000022	0.002238
quantile	20	0.100000	-0.001066	-0.000498	-0.000151	0.001506
quantile	20	0.200000	-0.002767	0.000140	0.000821	0.004105
quantile	20	0.300000	-0.002065	0.000359	0.000699	0.002331
quantile	20	0.500000	-0.002129	0.001284	0.000198	0.000395
cdf	20	0.001000	0.000040	0.000012	0.000015	0.014510
cdf	20	0.010000	0.000070	-0.000062	-0.000019	0.001852
cdf	20	0.100000	0.001070	0.000285	0.000163	0.001626
cdf	20	0.200000	0.002950	0.000447	-0.000257	0.001287
cdf	20	0.300000	0.002140	-0.000199	-0.000495	0.001649
cdf	20	0.500000	0.002280	-0.001031	0.000163	0.000326
quantile	50	0.001000	0.000011	-0.000003	-0.000001	0.000507
quantile	50	0.010000	0.000013	-0.000004	-0.000065	0.006457
quantile	50	0.100000	0.000294	-0.000127	0.000852	0.008521
quantile	50	0.200000	0.001097	-0.000686	0.000188	0.000939
quantile	50	0.300000	0.000146	-0.002156	0.001701	0.005672
quantile	50	0.500000	0.000149	-0.001105	-0.000501	0.001003
cdf	50	0.001000	0.000000	0.000004	0.000007	0.006947
cdf	50	0.010000	-0.000010	-0.000037	-0.000041	0.004089
cdf	50	0.100000	-0.000200	-0.000085	-0.000101	0.001005
cdf	50	0.200000	-0.001120	-0.000182	0.000213	0.001066
cdf	50	0.300000	-0.000130	-0.000003	-0.000451	0.001503
cdf	50	0.500000	-0.000180	0.001024	0.000414	0.000827
quantile	100	0.001000	0.000073	-0.000007	0.000001	0.001326
quantile	100	0.010000	-0.000051	0.000136	-0.000058	0.005785
quantile	100	0.100000	-0.000987	0.000062	0.000074	0.000739
quantile	100	0.200000	-0.000215	-0.001623	0.000177	0.000884
quantile	100	0.300000	-0.001781	-0.000097	-0.001903	0.006345
quantile	100	0.500000	-0.002342	0.000020	-0.004563	0.009126
cdf	100	0.001000	-0.000050	0.000002	0.000005	0.004853
cdf	100	0.010000	0.000080	-0.000010	0.000065	0.006480
cdf	100	0.100000	0.001060	-0.000220	-0.000098	0.000977
cdf	100	0.200000	0.000210	0.000206	-0.000001	0.000006
cdf	100	0.300000	0.001850	-0.001195	0.000165	0.000551
cdf	100	0.500000	0.002360	-0.000795	-0.000051	0.000102
quantile	2	0.001000	0.000076	0.000017	-0.000010	0.010349
quantile	2	0.010000	0.000133	-0.000026	-0.000032	0.003238
quantile	2	0.100000	0.000838	0.000176	0.001274	0.012739
quantile	2	0.200000	0.002078	-0.000074	-0.000110	0.000549
quantile	2	0.300000	0.000318	-0.000128	0.003169	0.010563
quantile	2	0.500000	0.001263	-0.003816	-0.000134	0.000268
cdf	2	0.001000	-0.000060	-0.000009	-0.000013	0.012508
cdf	2	0.010000	-0.000110	0.000033	-0.000021	0.002068
cdf	2	0.100000	-0.000580	0.000010	-0.000178	0.001785
cdf	2	0.200000	-0.002170	0.000127	0.000101	0.000505
cdf	2	0.300000	-0.000290	0.000804	0.000852	0.002839
cdf	2	0.500000	-0.001290	-0.000143	-0.000906	0.001813
quantile	5	0.001000	-0.000088	-0.000025	-0.000024	0.024011
quantile	5	0.010000	-0.000190	-0.000085	0.000072	0.007249
quantile	5	0.100000	-0.000352	0.000214	-0.000741	0.007410
quantile	5	0.200000	-0.002703	0.000073	-0.000451	0.002254
quantile	5	0.300000	-0.002695	-0.001814	0.001236	0.004120
quantile	5	0.500000	0.000362	-0.000109	-0.001182	0.002364
cdf	5	0.001000	0.000070	0.000007	0.000009	0.009212
cdf	5	0.010000	0.000300	-0.000016	-0.000005	0.000527
cdf	5	0.100000	0.000270	-0.000123	0.000192	0.001916
cdf	5	0.200000	0.002610	-0.000113	-0.000388	0.001938
cdf	5	0.300000	0.002780	-0.000904	0.000464	0.001545
cdf	5	0.500000	-0.000340	0.000078	-0.000175	0.000350
quantile	10	0.001000	0.000090	-0.000002	0.000007	0.006575
quantile	10	0.010000	-0.000378	0.000013	0.000018	0.001798
quantile	10	0.100000	0.000667	0.000308	-0.000466	0.004660
quantile	10	0.200000	0.001343	0.002713	0.000372	0.001860
quantile	10	0.300000	0.000003	-0.002125	0.000033	0.000111
quantile	10	0.500000	-0.001163	-0.000161	-0.000931	0.001862
cdf	10	0.001000	-0.000080	-0.000012	-0.000006	0.005901
cdf	10	0.010000	0.000400	-0.000025	-0.000066	0.006611
cdf	10	0.100000	-0.000770	0.000048	-0.000249	0.002485
cdf	10	0.200000	-0.001460	-0.000280	0.000601	0.003004
cdf	10	0.300000	0.000000	-0.000043	-0.000322	0.001073
cdf	10	0.500000	0.001250	0.000205	0.000437	0.000874
quantile	20	0.001000	0.000030	-0.000012	-0.000003	0.002750
quantile	20	0.010000	-0.000078	-0.000003	-0.000004	0.000376
quantile	20	0.100000	-0.000174	0.000830	-0.001108	0.011080
quantile	20	0.200000	0.000182	-0.001065	0.000074	0.000369
quantile	20	0.300000	0.000425	-0.002323	0.001949	0.006498
quantile	20	0.500000	0.002105	0.002990	-0.000224	0.000448
cdf	20	0.001000	-0.000050	0.000006	0.000005	0.005443
cdf	20	0.010000	0.000090	-0.000042	-0.000016	0.001633
cdf	20	0.100000	0.000230	0.000248	0.000199	0.001985
cdf	20	0.200000	-0.000120	-0.000187	0.000418	0.002091
cdf	20	0.300000	-0.000370	-0.000245	-0.000492	0.001641
cdf	20	0.500000	-0.002030	0.001106	0.000107	0.000214
quantile	50	0.001000	-0.000063	0.000015	-0.000002	0.002293
quantile	50	0.010000	-0.000339	-0.000108	0.000033	0.003287
quantile	50	0.100000	-0.000308	0.000205	-0.000831	0.008308
quantile	50	0.200000	0.000065	-0.000194	-0.000111	0.000554
quantile	50	0.300000	-0.001270	0.000051	0.000251	0.000835
quantile	50	0.500000	-0.000605	-0.001932	-0.002896	0.005791
cdf	50	0.001000	0.000090	-0.000010	-0.000002	0.002144
cdf	50	0.010000	0.000430	0.000027	-0.000039	0.003888
cdf	50	0.100000	0.000360	-0.000048	0.000151	0.001508
cdf	50	0.200000	-0.000060	-0.000655	-0.000686	0.003428
cdf	50	0.300000	0.001360	-0.000282	0.000735	0.002449
cdf	50	0.500000	0.000560	-0.000074	0.000028	0.000055
quantile	100	0.001000	-0.000022	0.000010	0.000002	0.002097
quantile	100	0.010000	0.000735	-0.000220	0.000045	0.004515
quantile	100	0.100000	0.001033	-0.001384	0.000034	0.000343
quantile	100	0.200000	0.000161	0.001525	0.003572	0.017858
quantile	100	0.300000	0.001111	-0.000145	-0.000367	0.001222
quantile	100	0.500000	0.002474	0.000427	-0.000471	0.000941
cdf	100	0.001000	0.000040	-0.000014	-0.000005	0.005319
cdf	100	0.010000	-0.000810	0.000037	0.000006	0.000550
cdf	100	0.100000	-0.000930	0.000052	-0.000080	0.000796
cdf	100	0.200000	-0.000180	-0.000942	0.000161	0.000807
cdf	100	0.300000	-0.000930	-0.000487	-0.000411	0.001370
cdf	100	0.500000	-0.002370	0.000861	0.000755	0.001511
